,ID,Name,Sex,PeoplesCount,WhenPeoplesCount,Source
312,20215,Агрулина,Ж,1,23.06.2016 14:21:14,myData.biz
313,20216,Агруния,Ж,0,23.06.2016 14:21:22,myData.biz
314,20217,Агтета,Ж,2,23.06.2016 14:21:30,myData.biz
315,20218,Агунда,Ж,642,23.06.2016 14:21:39,myData.biz
316,20219,Агуя,Ж,2,23.06.2016 14:21:46,myData.biz
317,20220,Агустина,Ж,16,23.06.2016 14:21:55,myData.biz
318,20221,Агфия,Ж,0,23.06.2016 14:22:02,myData.biz
319,20222,Агха,Ж,7,23.06.2016 14:22:11,myData.biz
320,20223,Агэля,Ж,0,23.06.2016 14:22:18,myData.biz
321,20224,Агэта,Ж,0,23.06.2016 14:22:28,myData.biz
322,20225,Ада,Ж,25000,23.06.2016 14:22:35,myData.biz
323,20226,Адаа,Ж,39,23.06.2016 14:22:44,myData.biz
324,20227,Адавие,Ж,9,23.06.2016 14:22:51,myData.biz
325,20228,Адавият,Ж,7,23.06.2016 14:22:59,myData.biz
326,20229,Адавье,Ж,2,23.06.2016 14:23:07,myData.biz
327,20230,Адаида,Ж,4,23.06.2016 14:23:15,myData.biz
328,20231,Адаиль,Ж,0,23.06.2016 14:23:22,myData.biz
329,20232,Адай,Ж,3000,23.06.2016 14:23:31,myData.biz
330,20233,Адалаида,Ж,19,23.06.2016 14:23:39,myData.biz
331,20234,Адалиада,Ж,1,23.06.2016 14:23:46,myData.biz
332,20235,Адалина,Ж,378,23.06.2016 14:23:55,myData.biz
333,20236,Адалия,Ж,63,23.06.2016 14:24:05,myData.biz
334,20237,Адаль,Ж,16,23.06.2016 14:24:11,myData.biz
335,20238,Адальберта,Ж,1,23.06.2016 14:24:18,myData.biz
336,20239,Адальмина,Ж,11,23.06.2016 14:24:27,myData.biz
337,20240,Адальфина,Ж,1,23.06.2016 14:24:34,myData.biz
338,20241,Адаля,Ж,9,23.06.2016 14:24:43,myData.biz
339,20242,Адалят,Ж,594,23.06.2016 14:24:51,myData.biz
340,20243,Адама,Ж,2000,23.06.2016 14:24:59,myData.biz
341,20244,Адамина,Ж,89,23.06.2016 14:25:07,myData.biz
342,20245,Адана,Ж,143000,23.06.2016 14:25:15,myData.biz
343,20246,Адане,Ж,2,23.06.2016 14:25:23,myData.biz
344,20247,Адария,Ж,5,23.06.2016 14:25:30,myData.biz
345,20248,Адарья,Ж,3,23.06.2016 14:25:39,myData.biz
346,20249,Адасия,Ж,0,23.06.2016 14:25:46,myData.biz
347,20250,Адась,Ж,54,23.06.2016 14:25:58,myData.biz
348,20251,Адаська,Ж,3,23.06.2016 14:26:02,myData.biz
349,20252,Адася,Ж,5,23.06.2016 14:26:10,myData.biz
350,20253,Адафия,Ж,1,23.06.2016 14:26:18,myData.biz
351,20254,Адая,Ж,13,23.06.2016 14:26:30,myData.biz
352,20255,Адвентина,Ж,6,23.06.2016 14:26:37,myData.biz
353,20256,Адверка,Ж,0,23.06.2016 14:26:42,myData.biz
354,20257,Адвина,Ж,7,23.06.2016 14:26:51,myData.biz
355,20258,Адда,Ж,78,23.06.2016 14:26:59,myData.biz
356,20259,Адделина,Ж,2,23.06.2016 14:27:06,myData.biz
357,20260,Адеалаида,Ж,0,23.06.2016 14:27:14,myData.biz
358,20261,Адеалида,Ж,1,23.06.2016 14:27:22,myData.biz
359,20262,Адеалина,Ж,1,23.06.2016 14:27:30,myData.biz
360,20263,Адебенга,Ж,1,23.06.2016 14:27:38,myData.biz
361,20264,Адегбанга,Ж,0,23.06.2016 14:27:46,myData.biz
362,20265,Адеелия,Ж,4,23.06.2016 14:27:55,myData.biz
363,20266,Адеида,Ж,1,23.06.2016 14:28:02,myData.biz
364,20267,Адеина,Ж,3,23.06.2016 14:28:11,myData.biz
365,20268,Адей,Ж,51,23.06.2016 14:28:19,myData.biz
366,20269,Адейла,Ж,1,23.06.2016 14:28:27,myData.biz
367,20270,Адейля,Ж,1,23.06.2016 14:28:34,myData.biz
368,20271,Адека,Ж,286,23.06.2016 14:28:43,myData.biz
369,20272,Адела,Ж,416,23.06.2016 14:28:51,myData.biz
370,20273,Аделада,Ж,0,23.06.2016 14:28:58,myData.biz
371,20274,Аделае,Ж,1,23.06.2016 14:29:06,myData.biz
372,20275,Аделаида,Ж,178000,23.06.2016 14:29:15,myData.biz
373,20276,Аделаижа,Ж,2,23.06.2016 14:29:22,myData.biz
374,20277,Аделаина,Ж,4,23.06.2016 14:29:30,myData.biz
375,20278,Аделайда,Ж,25,23.06.2016 14:29:40,myData.biz
376,20279,Аделанда,Ж,1,23.06.2016 14:29:47,myData.biz
377,20280,Аделаыда,Ж,0,23.06.2016 14:29:54,myData.biz
378,20281,Аделеида,Ж,0,23.06.2016 14:30:02,myData.biz
379,20282,Аделея,Ж,1,23.06.2016 14:30:10,myData.biz
380,20283,Адели,Ж,241,23.06.2016 14:30:19,myData.biz
381,20284,Аделиада,Ж,12,23.06.2016 14:30:27,myData.biz
382,20285,Аделида,Ж,10,23.06.2016 14:30:35,myData.biz
383,20286,Аделина,Ж,36000,23.06.2016 14:30:43,myData.biz
384,20287,Аделиня,Ж,1,23.06.2016 14:30:50,myData.biz
385,20288,Аделия,Ж,4000,23.06.2016 14:30:59,myData.biz
386,20289,Аделка,Ж,30,23.06.2016 14:31:07,myData.biz
387,20290,Аделла,Ж,171,23.06.2016 14:31:15,myData.biz
388,20291,Аделлаида,Ж,11,23.06.2016 14:31:23,myData.biz
389,20292,Аделли,Ж,2,23.06.2016 14:31:30,myData.biz
